Order ID,Product,Category,Quantity,Price,Region,Date
44,Laptop,Electronics,3,48142,North,2023-01-02 19:00:00
45,Laptop,Accessories,4,18440,North,2023-01-02 20:00:00
46,Smartwatch,Accessories,3,30041,East,2023-01-02 21:00:00
47,Laptop,Electronics,2,32123,East,2023-01-02 22:00:00
48,Smartwatch,Electronics,4,29423,East,2023-01-02 23:00:00
49,Phone,Electronics,4,4970,East,2023-01-03 00:00:00
50,Smartwatch,Accessories,3,6356,South,2023-01-03 01:00:00
51,Phone,Accessories,2,41961,East,2023-01-03 02:00:00
52,Tablet,Electronics,4,33825,West,2023-01-03 03:00:00
53,Tablet,Electronics,3,3681,South,2023-01-03 04:00:00
54,Laptop,Accessories,2,49218,West,2023-01-03 05:00:00
55,Phone,Electronics,3,28540,West,2023-01-03 06:00:00
56,Phone,Electronics,3,6530,North,2023-01-03 07:00:00
57,Phone,Electronics,1,36472,West,2023-01-03 08:00:00
58,Phone,Accessories,3,1686,South,2023-01-03 09:00:00
59,Headphones,Electronics,2,48827,South,2023-01-03 10:00:00
60,Headphones,Accessories,4,24197,North,2023-01-03 11:00:00
61,Tablet,Electronics,2,23162,South,2023-01-03 12:00:00
62,Headphones,Accessories,4,46702,East,2023-01-03 13:00:00
63,Laptop,Accessories,4,34440,West,2023-01-03 14:00:00
64,Headphones,Accessories,1,48315,South,2023-01-03 15:00:00
65,Smartwatch,Accessories,4,14084,South,2023-01-03 16:00:00
66,Phone,Accessories,3,36337,North,2023-01-03 17:00:00
67,Tablet,Accessories,4,22344,South,2023-01-03 18:00:00
68,Smartwatch,Electronics,3,15166,South,2023-01-03 19:00:00
69,Headphones,Accessories,2,30993,West,2023-01-03 20:00:00
70,Smartwatch,Electronics,1,47822,West,2023-01-03 21:00:00
71,Smartwatch,Electronics,4,10189,East,2023-01-03 22:00:00
72,Smartwatch,Electronics,2,25040,East,2023-01-03 23:00:00
73,Headphones,Electronics,3,5953,South,2023-01-04 00:00:00
74,Smartwatch,Electronics,4,41416,West,2023-01-04 01:00:00
75,Smartwatch,Accessories,1,27981,East,2023-01-04 02:00:00
76,Smartwatch,Accessories,1,45316,East,2023-01-04 03:00:00
77,Laptop,Accessories,2,44269,South,2023-01-04 04:00:00
78,Smartwatch,Accessories,2,24825,South,2023-01-04 05:00:00
79,Headphones,Electronics,1,25558,North,2023-01-04 06:00:00
80,Tablet,Accessories,2,12385,North,2023-01-04 07:00:00
81,Laptop,Electronics,2,39001,West,2023-01-04 08:00:00
82,Phone,Electronics,4,9728,South,2023-01-04 09:00:00
83,Phone,Electronics,1,33818,North,2023-01-04 10:00:00
84,Headphones,Accessories,3,11607,North,2023-01-04 11:00:00
85,Laptop,Accessories,2,39864,North,2023-01-04 12:00:00
86,Laptop,Electronics,4,27474,South,2023-01-04 13:00:00
87,Phone,Electronics,4,8071,South,2023-01-04 14:00:00
88,Tablet,Accessories,4,15042,West,2023-01-04 15:00:00
89,Smartwatch,Electronics,1,29674,North,2023-01-04 16:00:00
90,Tablet,Electronics,4,13113,South,2023-01-04 17:00:00
91,Laptop,Accessories,2,25327,North,2023-01-04 18:00:00
92,Headphones,Accessories,1,48454,West,2023-01-04 19:00:00
93,Tablet,Accessories,4,11954,South,2023-01-04 20:00:00
94,Tablet,Accessories,3,47233,West,2023-01-04 21:00:00
95,Laptop,Accessories,1,40622,South,2023-01-04 22:00:00
96,Phone,Accessories,4,7698,East,2023-01-04 23:00:00
97,Laptop,Accessories,2,2437,North,2023-01-05 00:00:00
98,Tablet,Accessories,4,46192,East,2023-01-05 01:00:00
99,Tablet,Accessories,4,29409,West,2023-01-05 02:00:00
100,Headphones,Accessories,3,19052,West,2023-01-05 03:00:00
101,Tablet,Accessories,2,49553,West,2023-01-05 04:00:00
102,Headphones,Electronics,1,22844,South,2023-01-05 05:00:00
103,Tablet,Electronics,1,46485,East,2023-01-05 06:00:00
104,Phone,Accessories,2,2610,North,2023-01-05 07:00:00
105,Tablet,Electronics,1,33844,South,2023-01-05 08:00:00
106,Headphones,Electronics,3,47926,South,2023-01-05 09:00:00
107,Headphones,Electronics,2,20183,East,2023-01-05 10:00:00
108,Headphones,Electronics,1,23482,South,2023-01-05 11:00:00
109,Tablet,Electronics,4,35048,East,2023-01-05 12:00:00
110,Headphones,Accessories,3,35540,East,2023-01-05 13:00:00
111,Smartwatch,Electronics,3,19832,West,2023-01-05 14:00:00
112,Phone,Accessories,3,44856,North,2023-01-05 15:00:00
113,Tablet,Accessories,3,49159,North,2023-01-05 16:00:00
114,Headphones,Accessories,1,48089,North,2023-01-05 17:00:00
115,Phone,Accessories,1,44755,South,2023-01-05 18:00:00
116,Tablet,Electronics,1,7627,South,2023-01-05 19:00:00
117,Phone,Electronics,4,43946,East,2023-01-05 20:00:00
118,Smartwatch,Electronics,3,6463,South,2023-01-05 21:00:00
119,Tablet,Electronics,4,23077,East,2023-01-05 22:00:00
120,Headphones,Accessories,4,6070,South,2023-01-05 23:00:00
121,Laptop,Accessories,1,15884,East,2023-01-06 00:00:00
122,Headphones,Electronics,2,47034,South,2023-01-06 01:00:00
123,Tablet,Electronics,2,16561,South,2023-01-06 02:00:00
124,Headphones,Electronics,4,883,West,2023-01-06 03:00:00
125,Laptop,Accessories,2,31195,North,2023-01-06 04:00:00
126,Laptop,Accessories,3,37469,West,2023-01-06 05:00:00
127,Laptop,Electronics,3,31333,West,2023-01-06 06:00:00
128,Headphones,Accessories,3,13035,East,2023-01-06 07:00:00
129,Tablet,Electronics,1,36770,North,2023-01-06 08:00:00
130,Headphones,Electronics,3,3567,South,2023-01-06 09:00:00
131,Laptop,Accessories,1,7224,East,2023-01-06 10:00:00
132,Smartwatch,Accessories,3,27474,West,2023-01-06 11:00:00
133,Laptop,Accessories,1,37396,West,2023-01-06 12:00:00
134,Laptop,Accessories,1,45997,North,2023-01-06 13:00:00
135,Tablet,Accessories,3,39413,North,2023-01-06 14:00:00
136,Headphones,Accessories,1,2864,North,2023-01-06 15:00:00
137,Tablet,Accessories,2,12689,West,2023-01-06 16:00:00
138,Headphones,Accessories,2,35074,South,2023-01-06 17:00:00
139,Laptop,Accessories,4,43185,North,2023-01-06 18:00:00
140,Laptop,Accessories,4,36157,West,2023-01-06 19:00:00
141,Laptop,Electronics,4,46692,North,2023-01-06 20:00:00
142,Headphones,Electronics,4,22465,East,2023-01-06 21:00:00
143,Laptop,Electronics,3,44025,North,2023-01-06 22:00:00
144,Tablet,Electronics,4,24644,West,2023-01-06 23:00:00
145,Tablet,Accessories,1,9470,South,2023-01-07 00:00:00
146,Laptop,Electronics,2,38964,East,2023-01-07 01:00:00
147,Smartwatch,Accessories,2,35845,North,2023-01-07 02:00:00
148,Headphones,Accessories,3,7640,East,2023-01-07 03:00:00
149,Smartwatch,Electronics,4,5271,East,2023-01-07 04:00:00
150,Laptop,Accessories,4,34773,West,2023-01-07 05:00:00
151,Smartwatch,Accessories,4,21822,East,2023-01-07 06:00:00
152,Headphones,Accessories,1,2668,South,2023-01-07 07:00:00
153,Headphones,Electronics,3,15348,North,2023-01-07 08:00:00
154,Smartwatch,Accessories,1,34754,West,2023-01-07 09:00:00
155,Phone,Electronics,1,39209,North,2023-01-07 10:00:00
156,Headphones,Accessories,3,20071,East,2023-01-07 11:00:00
157,Laptop,Electronics,1,43930,East,2023-01-07 12:00:00
158,Laptop,Electronics,3,48666,North,2023-01-07 13:00:00
159,Laptop,Accessories,4,46836,West,2023-01-07 14:00:00
160,Phone,Electronics,1,15929,West,2023-01-07 15:00:00
161,Laptop,Accessories,3,1002,West,2023-01-07 16:00:00
162,Smartwatch,Accessories,1,37895,North,2023-01-07 17:00:00
163,Phone,Accessories,2,30885,West,2023-01-07 18:00:00
164,Headphones,Electronics,1,47225,North,2023-01-07 19:00:00
165,Phone,Electronics,4,35723,South,2023-01-07 20:00:00
166,Laptop,Electronics,1,13654,East,2023-01-07 21:00:00
167,Laptop,Accessories,4,22573,South,2023-01-07 22:00:00
168,Smartwatch,Electronics,2,16637,South,2023-01-07 23:00:00
169,Headphones,Electronics,1,8165,West,2023-01-08 00:00:00
170,Headphones,Electronics,1,867,West,2023-01-08 01:00:00
171,Phone,Electronics,1,18507,West,2023-01-08 02:00:00
172,Laptop,Electronics,2,6788,West,2023-01-08 03:00:00
173,Laptop,Accessories,2,8405,West,2023-01-08 04:00:00
174,Phone,Electronics,1,49288,North,2023-01-08 05:00:00
175,Tablet,Accessories,4,20651,North,2023-01-08 06:00:00
176,Laptop,Electronics,4,28254,North,2023-01-08 07:00:00
177,Headphones,Accessories,3,33474,North,2023-01-08 08:00:00
178,Phone,Electronics,3,36785,North,2023-01-08 09:00:00
179,Phone,Accessories,2,4375,East,2023-01-08 10:00:00
180,Smartwatch,Electronics,4,23507,North,2023-01-08 11:00:00
181,Laptop,Electronics,2,47166,West,2023-01-08 12:00:00
182,Laptop,Accessories,2,4519,North,2023-01-08 13:00:00
183,Headphones,Accessories,2,31817,East,2023-01-08 14:00:00
184,Tablet,Accessories,3,39465,South,2023-01-08 15:00:00
185,Headphones,Electronics,2,46721,North,2023-01-08 16:00:00
186,Tablet,Accessories,3,19628,West,2023-01-08 17:00:00
187,Smartwatch,Electronics,1,25029,East,2023-01-08 18:00:00
188,Headphones,Electronics,1,27574,West,2023-01-08 19:00:00
189,Headphones,Electronics,2,48607,North,2023-01-08 20:00:00
190,Laptop,Electronics,3,22672,East,2023-01-08 21:00:00
191,Headphones,Accessories,1,38734,North,2023-01-08 22:00:00
192,Laptop,Accessories,2,17400,West,2023-01-08 23:00:00
193,Smartwatch,Electronics,1,40521,East,2023-01-09 00:00:00
194,Tablet,Accessories,2,993,North,2023-01-09 01:00:00
195,Headphones,Electronics,2,12761,North,2023-01-09 02:00:00
196,Smartwatch,Accessories,3,34538,West,2023-01-09 03:00:00
197,Laptop,Electronics,3,35773,East,2023-01-09 04:00:00
198,Tablet,Accessories,4,1765,North,2023-01-09 05:00:00
199,Headphones,Electronics,3,1767,South,2023-01-09 06:00:00
200,Headphones,Accessories,3,20232,South,2023-01-09 07:00:00
201,Phone,Accessories,1,15909,North,2023-01-09 08:00:00
202,Headphones,Electronics,4,10365,West,2023-01-09 09:00:00
203,Smartwatch,Electronics,1,35743,West,2023-01-09 10:00:00
204,Headphones,Electronics,2,44111,East,2023-01-09 11:00:00
205,Headphones,Electronics,3,44411,North,2023-01-09 12:00:00
206,Phone,Accessories,3,35406,West,2023-01-09 13:00:00
207,Phone,Electronics,2,27329,West,2023-01-09 14:00:00
208,Phone,Accessories,4,18893,North,2023-01-09 15:00:00
209,Headphones,Accessories,2,594,South,2023-01-09 16:00:00
210,Tablet,Electronics,1,7136,South,2023-01-09 17:00:00
211,Tablet,Accessories,4,6713,East,2023-01-09 18:00:00
212,Smartwatch,Electronics,1,6931,South,2023-01-09 19:00:00
213,Headphones,Accessories,1,18790,South,2023-01-09 20:00:00
214,Phone,Accessories,2,21610,South,2023-01-09 21:00:00
215,Tablet,Electronics,3,32462,East,2023-01-09 22:00:00
216,Headphones,Accessories,3,20777,North,2023-01-09 23:00:00
217,Phone,Accessories,1,19908,South,2023-01-10 00:00:00
218,Smartwatch,Electronics,1,49773,West,2023-01-10 01:00:00
219,Tablet,Electronics,1,13230,South,2023-01-10 02:00:00
220,Tablet,Electronics,3,34240,East,2023-01-10 03:00:00
221,Laptop,Accessories,3,26275,West,2023-01-10 04:00:00
222,Phone,Accessories,2,32232,South,2023-01-10 05:00:00
223,Laptop,Accessories,4,40817,West,2023-01-10 06:00:00
224,Smartwatch,Electronics,1,35353,South,2023-01-10 07:00:00
225,Laptop,Accessories,2,7765,West,2023-01-10 08:00:00
226,Headphones,Accessories,4,8575,North,2023-01-10 09:00:00
227,Tablet,Accessories,1,18975,West,2023-01-10 10:00:00
228,Laptop,Electronics,3,45298,West,2023-01-10 11:00:00
229,Laptop,Electronics,3,1872,East,2023-01-10 12:00:00
230,Phone,Electronics,3,20792,East,2023-01-10 13:00:00
231,Phone,Electronics,3,33310,South,2023-01-10 14:00:00
232,Laptop,Accessories,1,3769,South,2023-01-10 15:00:00
233,Headphones,Accessories,3,21252,North,2023-01-10 16:00:00
234,Laptop,Accessories,3,33761,North,2023-01-10 17:00:00
235,Headphones,Electronics,1,29420,North,2023-01-10 18:00:00
236,Laptop,Electronics,3,14789,West,2023-01-10 19:00:00
237,Smartwatch,Accessories,3,46879,West,2023-01-10 20:00:00
238,Smartwatch,Accessories,4,16886,West,2023-01-10 21:00:00
239,Laptop,Accessories,4,21372,East,2023-01-10 22:00:00
240,Phone,Accessories,2,36009,East,2023-01-10 23:00:00
241,Headphones,Accessories,1,19159,East,2023-01-11 00:00:00
242,Smartwatch,Electronics,1,16042,West,2023-01-11 01:00:00
243,Headphones,Electronics,1,22712,North,2023-01-11 02:00:00
244,Tablet,Electronics,4,4152,West,2023-01-11 03:00:00
245,Phone,Electronics,2,37789,West,2023-01-11 04:00:00
246,Phone,Accessories,2,22126,North,2023-01-11 05:00:00
247,Tablet,Electronics,3,7014,South,2023-01-11 06:00:00
248,Phone,Electronics,4,20740,South,2023-01-11 07:00:00
249,Smartwatch,Accessories,3,11632,West,2023-01-11 08:00:00
250,Tablet,Electronics,1,22799,South,2023-01-11 09:00:00
251,Smartwatch,Accessories,4,40425,South,2023-01-11 10:00:00
252,Smartwatch,Accessories,3,29914,North,2023-01-11 11:00:00
253,Tablet,Accessories,2,49454,West,2023-01-11 12:00:00
254,Headphones,Accessories,2,44937,South,2023-01-11 13:00:00
255,Headphones,Electronics,1,14237,South,2023-01-11 14:00:00
256,Phone,Accessories,1,12080,East,2023-01-11 15:00:00
257,Tablet,Electronics,4,23839,South,2023-01-11 16:00:00
258,Smartwatch,Accessories,2,31748,North,2023-01-11 17:00:00
259,Headphones,Electronics,4,44407,South,2023-01-11 18:00:00
260,Headphones,Accessories,2,29287,West,2023-01-11 19:00:00
261,Phone,Electronics,3,22315,East,2023-01-11 20:00:00
262,Phone,Accessories,3,7361,West,2023-01-11 21:00:00
263,Phone,Electronics,4,1784,West,2023-01-11 22:00:00
264,Phone,Electronics,4,8545,East,2023-01-11 23:00:00
265,Tablet,Accessories,2,27212,West,2023-01-12 00:00:00
266,Laptop,Electronics,4,25771,North,2023-01-12 01:00:00
267,Headphones,Accessories,1,2954,South,2023-01-12 02:00:00
268,Phone,Accessories,2,24929,North,2023-01-12 03:00:00
269,Smartwatch,Electronics,2,42922,East,2023-01-12 04:00:00
270,Headphones,Accessories,2,39590,South,2023-01-12 05:00:00
271,Phone,Accessories,2,4876,East,2023-01-12 06:00:00
272,Phone,Electronics,1,19447,South,2023-01-12 07:00:00
273,Tablet,Electronics,3,47670,West,2023-01-12 08:00:00
274,Laptop,Electronics,1,33300,East,2023-01-12 09:00:00
275,Laptop,Electronics,3,18759,South,2023-01-12 10:00:00
276,Tablet,Accessories,4,29515,North,2023-01-12 11:00:00
277,Smartwatch,Electronics,3,7816,West,2023-01-12 12:00:00
278,Laptop,Electronics,1,17382,East,2023-01-12 13:00:00
279,Smartwatch,Electronics,4,45185,East,2023-01-12 14:00:00
280,Headphones,Electronics,4,19143,West,2023-01-12 15:00:00
281,Headphones,Accessories,4,10248,North,2023-01-12 16:00:00
282,Laptop,Accessories,1,3245,North,2023-01-12 17:00:00
283,Laptop,Accessories,3,32534,East,2023-01-12 18:00:00
284,Headphones,Electronics,4,16887,West,2023-01-12 19:00:00
285,Headphones,Accessories,1,46384,South,2023-01-12 20:00:00
286,Laptop,Accessories,2,19245,North,2023-01-12 21:00:00
287,Headphones,Accessories,4,19023,South,2023-01-12 22:00:00
288,Laptop,Accessories,3,21917,West,2023-01-12 23:00:00
289,Tablet,Electronics,2,973,South,2023-01-13 00:00:00
290,Phone,Accessories,3,22023,North,2023-01-13 01:00:00
291,Laptop,Accessories,1,37155,East,2023-01-13 02:00:00
292,Smartwatch,Accessories,1,41394,North,2023-01-13 03:00:00
293,Laptop,Electronics,4,5316,South,2023-01-13 04:00:00
294,Headphones,Accessories,3,14111,South,2023-01-13 05:00:00
295,Smartwatch,Accessories,3,7981,West,2023-01-13 06:00:00
296,Smartwatch,Accessories,2,23295,West,2023-01-13 07:00:00
297,Phone,Accessories,2,17569,North,2023-01-13 08:00:00
298,Laptop,Electronics,4,31112,South,2023-01-13 09:00:00
299,Tablet,Accessories,4,6545,South,2023-01-13 10:00:00
300,Smartwatch,Accessories,1,7206,West,2023-01-13 11:00:00
301,Smartwatch,Accessories,2,34880,North,2023-01-13 12:00:00
302,Tablet,Electronics,4,34031,East,2023-01-13 13:00:00
303,Smartwatch,Accessories,2,33798,North,2023-01-13 14:00:00
304,Headphones,Accessories,2,49724,East,2023-01-13 15:00:00
305,Tablet,Accessories,4,4544,North,2023-01-13 16:00:00
306,Headphones,Accessories,3,7686,East,2023-01-13 17:00:00
307,Laptop,Accessories,3,33256,West,2023-01-13 18:00:00
308,Laptop,Electronics,4,31102,West,2023-01-13 19:00:00
309,Laptop,Accessories,1,40794,West,2023-01-13 20:00:00
310,Headphones,Electronics,2,719,South,2023-01-13 21:00:00
311,Smartwatch,Electronics,3,13136,West,2023-01-13 22:00:00
312,Smartwatch,Electronics,1,19203,East,2023-01-13 23:00:00
313,Tablet,Electronics,3,28508,West,2023-01-14 00:00:00
314,Tablet,Accessories,1,11671,West,2023-01-14 01:00:00
315,Smartwatch,Electronics,4,38344,East,2023-01-14 02:00:00
316,Phone,Accessories,1,28128,South,2023-01-14 03:00:00
317,Headphones,Accessories,1,15495,East,2023-01-14 04:00:00
318,Headphones,Accessories,2,1123,West,2023-01-14 05:00:00
319,Headphones,Electronics,1,14602,West,2023-01-14 06:00:00
320,Phone,Accessories,4,31027,East,2023-01-14 07:00:00
321,Tablet,Accessories,3,35697,East,2023-01-14 08:00:00
322,Tablet,Accessories,2,42935,North,2023-01-14 09:00:00
323,Headphones,Accessories,1,28619,South,2023-01-14 10:00:00
324,Tablet,Accessories,1,40376,West,2023-01-14 11:00:00
325,Headphones,Accessories,1,8564,North,2023-01-14 12:00:00
326,Smartwatch,Accessories,1,30781,East,2023-01-14 13:00:00
327,Smartwatch,Accessories,3,36041,East,2023-01-14 14:00:00
328,Tablet,Electronics,3,22406,North,2023-01-14 15:00:00
329,Phone,Electronics,3,13840,East,2023-01-14 16:00:00
330,Tablet,Accessories,1,3984,West,2023-01-14 17:00:00
331,Laptop,Accessories,2,17028,South,2023-01-14 18:00:00
332,Headphones,Accessories,4,33869,South,2023-01-14 19:00:00
333,Laptop,Accessories,1,18042,East,2023-01-14 20:00:00
334,Tablet,Electronics,2,19615,North,2023-01-14 21:00:00
335,Smartwatch,Accessories,2,46274,South,2023-01-14 22:00:00
336,Headphones,Accessories,4,19648,West,2023-01-14 23:00:00
337,Tablet,Electronics,2,33377,West,2023-01-15 00:00:00
338,Phone,Accessories,1,28540,West,2023-01-15 01:00:00
339,Tablet,Electronics,4,41121,North,2023-01-15 02:00:00
340,Phone,Electronics,4,2592,East,2023-01-15 03:00:00
341,Smartwatch,Electronics,4,37400,North,2023-01-15 04:00:00
342,Phone,Accessories,4,31119,North,2023-01-15 05:00:00
343,Laptop,Accessories,1,37036,North,2023-01-15 06:00:00
344,Laptop,Electronics,2,16785,East,2023-01-15 07:00:00
345,Laptop,Electronics,3,8978,South,2023-01-15 08:00:00
346,Laptop,Accessories,3,4889,South,2023-01-15 09:00:00
347,Laptop,Electronics,3,45657,South,2023-01-15 10:00:00
348,Phone,Electronics,1,43573,West,2023-01-15 11:00:00
349,Laptop,Electronics,3,19482,North,2023-01-15 12:00:00
350,Headphones,Accessories,2,4994,South,2023-01-15 13:00:00
351,Phone,Electronics,4,25114,South,2023-01-15 14:00:00
352,Smartwatch,Electronics,1,11742,West,2023-01-15 15:00:00
353,Phone,Accessories,3,46233,West,2023-01-15 16:00:00
354,Tablet,Accessories,3,41169,East,2023-01-15 17:00:00
355,Smartwatch,Electronics,2,22226,South,2023-01-15 18:00:00
356,Laptop,Electronics,3,16155,West,2023-01-15 19:00:00
357,Laptop,Accessories,1,40943,East,2023-01-15 20:00:00
358,Tablet,Electronics,2,17919,East,2023-01-15 21:00:00
359,Laptop,Accessories,3,30451,East,2023-01-15 22:00:00
360,Smartwatch,Electronics,1,9749,East,2023-01-15 23:00:00
361,Smartwatch,Electronics,2,27055,West,2023-01-16 00:00:00
362,Smartwatch,Electronics,2,35689,South,2023-01-16 01:00:00
363,Phone,Accessories,1,14640,West,2023-01-16 02:00:00
364,Phone,Electronics,4,43683,South,2023-01-16 03:00:00
365,Smartwatch,Electronics,1,26395,North,2023-01-16 04:00:00
366,Phone,Electronics,4,42979,East,2023-01-16 05:00:00
367,Phone,Electronics,2,46045,West,2023-01-16 06:00:00
368,Headphones,Accessories,2,1892,West,2023-01-16 07:00:00
369,Phone,Electronics,1,15982,East,2023-01-16 08:00:00
370,Headphones,Electronics,2,17898,South,2023-01-16 09:00:00
371,Headphones,Accessories,4,16630,South,2023-01-16 10:00:00
372,Phone,Electronics,2,38431,West,2023-01-16 11:00:00
373,Phone,Electronics,2,4346,North,2023-01-16 12:00:00
374,Phone,Accessories,1,31421,East,2023-01-16 13:00:00
375,Laptop,Accessories,1,22897,South,2023-01-16 14:00:00
376,Headphones,Electronics,4,12331,West,2023-01-16 15:00:00
377,Laptop,Accessories,3,45475,North,2023-01-16 16:00:00
378,Smartwatch,Electronics,1,22742,West,2023-01-16 17:00:00
379,Phone,Electronics,2,25911,North,2023-01-16 18:00:00
380,Smartwatch,Electronics,1,11709,North,2023-01-16 19:00:00
381,Laptop,Electronics,3,8974,South,2023-01-16 20:00:00
382,Headphones,Accessories,3,11171,East,2023-01-16 21:00:00
383,Tablet,Accessories,1,2021,East,2023-01-16 22:00:00
384,Phone,Accessories,3,5963,North,2023-01-16 23:00:00
385,Smartwatch,Accessories,1,41313,North,2023-01-17 00:00:00
386,Smartwatch,Electronics,3,25010,North,2023-01-17 01:00:00
387,Smartwatch,Electronics,4,36100,South,2023-01-17 02:00:00
388,Laptop,Accessories,4,14464,North,2023-01-17 03:00:00
389,Laptop,Electronics,4,17984,West,2023-01-17 04:00:00
390,Tablet,Electronics,2,12076,North,2023-01-17 05:00:00
391,Laptop,Electronics,4,26834,North,2023-01-17 06:00:00
392,Headphones,Electronics,1,4128,West,2023-01-17 07:00:00
393,Headphones,Accessories,4,17284,East,2023-01-17 08:00:00
394,Smartwatch,Electronics,2,49326,East,2023-01-17 09:00:00
395,Phone,Accessories,4,15124,North,2023-01-17 10:00:00
396,Smartwatch,Accessories,2,26669,South,2023-01-17 11:00:00
397,Headphones,Accessories,3,49115,South,2023-01-17 12:00:00
398,Headphones,Electronics,1,7990,North,2023-01-17 13:00:00
399,Headphones,Electronics,4,23163,East,2023-01-17 14:00:00
400,Smartwatch,Accessories,2,15516,East,2023-01-17 15:00:00
401,Tablet,Electronics,2,43736,South,2023-01-17 16:00:00
402,Phone,Electronics,1,37804,North,2023-01-17 17:00:00
403,Tablet,Electronics,1,21014,East,2023-01-17 18:00:00
404,Tablet,Accessories,4,48506,East,2023-01-17 19:00:00
405,Phone,Electronics,2,21862,East,2023-01-17 20:00:00
406,Headphones,Accessories,2,34794,West,2023-01-17 21:00:00
407,Headphones,Accessories,1,9251,East,2023-01-17 22:00:00
408,Smartwatch,Electronics,2,36970,East,2023-01-17 23:00:00
409,Smartwatch,Electronics,3,21466,North,2023-01-18 00:00:00
410,Tablet,Electronics,3,12460,South,2023-01-18 01:00:00
411,Phone,Electronics,2,46331,West,2023-01-18 02:00:00
412,Phone,Accessories,3,49826,East,2023-01-18 03:00:00
413,Laptop,Accessories,1,12199,South,2023-01-18 04:00:00
414,Laptop,Electronics,4,5636,South,2023-01-18 05:00:00
415,Tablet,Electronics,4,33172,East,2023-01-18 06:00:00
416,Smartwatch,Accessories,1,33216,North,2023-01-18 07:00:00
417,Headphones,Electronics,3,45062,South,2023-01-18 08:00:00
418,Headphones,Accessories,1,1053,South,2023-01-18 09:00:00
419,Tablet,Electronics,1,48435,South,2023-01-18 10:00:00
420,Phone,Electronics,4,2616,South,2023-01-18 11:00:00
421,Laptop,Electronics,1,42965,East,2023-01-18 12:00:00
422,Smartwatch,Electronics,1,44339,South,2023-01-18 13:00:00
423,Phone,Electronics,2,20835,East,2023-01-18 14:00:00
424,Smartwatch,Accessories,2,17050,West,2023-01-18 15:00:00
425,Smartwatch,Electronics,1,22239,East,2023-01-18 16:00:00
426,Tablet,Accessories,3,40010,North,2023-01-18 17:00:00
427,Laptop,Electronics,3,37306,North,2023-01-18 18:00:00
428,Laptop,Electronics,2,44306,West,2023-01-18 19:00:00
429,Headphones,Electronics,4,15158,West,2023-01-18 20:00:00
430,Phone,Accessories,2,6656,North,2023-01-18 21:00:00
431,Phone,Accessories,1,7953,North,2023-01-18 22:00:00
432,Laptop,Accessories,1,19503,North,2023-01-18 23:00:00
433,Smartwatch,Electronics,3,35591,North,2023-01-19 00:00:00
